,Country,Year,Log Fertility
0,2140,1956,-2.8322652435987563
1,2140,1957,-2.9048998233336114
2,2140,1958,-2.8417624889603887
3,2140,1959,-2.782962342667342
4,2140,1960,-2.9868886298974093
5,2140,1961,-2.961752650087149
6,2140,1962,-2.952220235591913
7,2140,1963,-2.947952731277054
8,2140,1964,-2.9670866754770264
9,2140,1965,-2.997425207974205
10,2140,1966,-3.0612958959061705
11,2140,1967,-3.190812402780387
12,2140,1968,-3.089410981994188
13,2140,1969,-3.2462348229348303
14,2140,1970,-2.936985064241852
15,2140,1971,-3.2912096971258094
16,2140,1972,-3.6172303927100327
17,2140,1973,-3.313630810927683
18,2140,1974,-3.422249019288223
19,2140,1975,-3.2793748120506594
20,2140,1976,-3.3909334052650837
21,2140,1977,-3.3448033500650256
22,2140,1978,-3.52124940842654
23,2140,1979,-3.086353005198563
24,2140,1980,-3.815033733961612
25,2140,1981,-3.3816149459335283
26,2140,1982,-3.3779078771438376
27,2140,1983,-2.573827464226921
28,2140,1984,-3.292429880858524
29,2140,1985,-3.324813430087104
30,2140,1986,-2.85541108762674
31,2140,1987,-3.2880158638608328
32,2140,1988,-3.1851472753990926
33,2140,1989,-3.3005392755805096
34,2140,1990,-3.315712383234437
35,2140,1991,-3.334569012370967
36,2140,1992,-3.3605503507521717
37,2140,1993,-3.3709591362884828
38,2140,1994,-2.619345507902337
39,3160,1950,-3.305677323651426
40,3160,1951,-3.404738103980711
41,3160,1952,-3.4497550680809734
42,3160,1953,-3.4719317490747716
43,3160,1954,-3.6056438606141614
44,3160,1955,-3.5903591553406544
45,3160,1956,-3.6410696069358446
46,3160,1957,-3.6666129548174577
47,3160,1958,-3.655238412470542
48,3160,1959,-3.889571996531568
49,3160,1960,-3.7038646731247575
50,3160,1961,-3.6884854075625664
51,3160,1962,-3.695132758856702
52,3160,1963,-3.677626281041988
53,3160,1964,-3.6434045498618643
54,3160,1965,-3.8086355384579513
55,3160,1966,-3.9083410070664626
56,3160,1967,-3.58409664175187
57,3160,1968,-3.5645564582088003
