,Country,Year,Log Mortality6,Log Mortality7,Log Mortality8,Log Mortality9,Log Mortality10,Log Mortality11,Log Mortality12,Log Mortality13,Log Mortality14,Log Mortality15,Log Mortality16,Log Mortality17,Log Mortality18,Log Mortality19,Log Mortality20,Log Mortality21,Log Mortality22,Log Mortality23,Log Mortality24,Log Mortality25,Log Mortality26
0,2140,1956,-7.552318459686338,-5.786414739236471,-6.398390575855821,-6.205038647406041,-5.539922980701982,-5.450509181889962,-5.2665686682334565,-4.999585457909671,-4.609832199093903,-4.4654082436129325,-4.185662720756888,-3.74496892076498,-3.302257433807252,-2.6882475738060303,-2.496169842066711,-2.1062380608455866,-1.791759469228055,-1.1344467416773258,-4.821948486837696,-4.811191475409066,inf
1,2140,1957,-7.552318459686338,-5.692793353080606,-6.585467677352881,-6.05255223908782,-5.606360361648733,-5.4326654190791155,-5.285894846549479,-5.003517826327392,-4.591625960880334,-4.287673850825884,-4.088479442769702,-3.6288967495122257,-3.3948539077399804,-2.729824000651771,-2.3289290683336477,-2.160109444747291,-1.7466390339475855,-1.144074662744867,-4.821948486837696,-4.811191475409066,inf
2,2140,1958,-7.552318459686338,-5.8010114270351485,-6.309239621939865,-5.972046461250881,-5.846797181942973,-5.485288186468521,-5.480339118213078,-5.1461255512061115,-4.784897707604999,-4.395933631922857,-4.30361826567216,-3.7413126095618696,-3.4650088944071094,-2.7641396677532537,-2.438921536546177,-2.1357677227360563,-1.7320402345264327,-1.3443301620208583,-4.821948486837696,-4.811191475409066,inf
3,2140,1959,-7.552318459686338,-5.917502805853109,-6.50207275593671,-6.155645401295177,-5.8796731411198655,-5.558848449933866,-5.384148802397817,-5.049198328830566,-4.742859588761277,-4.583298111169423,-4.300211936344441,-3.4472413201635623,-3.2770577802509364,-2.709511121741885,-2.2767533983805217,-1.957620236327179,-1.6607312068216509,-1.1524496513004352,-4.821948486837696,-4.811191475409066,inf
4,2140,1960,-7.552318459686338,-5.903626382142358,-6.287403255858882,-6.264639727679689,-5.791174296771211,-5.646624060816253,-5.432453415041027,-5.226523674529293,-4.988959568617215,-4.52206964699046,-4.1696891819396615,-3.781701888433872,-3.252452120401805,-2.8709487092722212,-2.4273636945089736,-2.1348623356212437,-1.8445576547950258,-1.3167682984712803,-4.821948486837696,-4.811191475409066,inf
5,2140,1961,-6.473908878335748,-5.957978749311996,-6.6299012954666185,-6.269607596513004,-5.87525401542609,-5.653093958031263,-5.474940902227353,-5.081138359678436,-4.95171222109941,-4.677716606683701,-4.207780491885472,-3.7969920847386374,-3.31919854649607,-2.8857574203454193,-2.4079456086518722,-2.0861305298306325,-1.7678612730671381,-1.189031224327737,-3.743538905487106,-3.732781894058476,inf
6,2140,1962,-6.467129191350369,-5.797008596741996,-6.50209330110269,-6.250747145038065,-5.668321164426826,-5.647013544754964,-5.399161886476379,-5.130683336383491,-4.81080983577343,-4.519253499857643,-4.114705484871016,-3.860473771099771,-3.228793261525547,-2.8770069210748335,-2.4259641141545503,-2.089218914518131,-1.7249507995559445,-1.3194856914477804,-3.7367592185017275,-3.726002207073097,inf
7,2140,1963,-6.480734843406148,-5.903260208449881,-6.490757762127627,-6.193958397131648,-5.767002355685586,-5.529383992699574,-5.505077438611722,-5.21569516997717,-4.803445670724288,-4.615797278562377,-4.182399330782334,-3.8989509238607933,-3.2666072276893905,-2.982948833928316,-2.3234917778133592,-1.9736600620082156,-1.6050995108355022,-1.0913658801473425,-3.750364870557506,-3.739607859128876,inf
8,2140,1964,-6.480734843406148,-5.944158429711045,-6.524963507881474,-6.143695840549436,-5.753302166488847,-5.6961778752709815,-5.416714087403183,-5.055343532687988,-4.888233312583578,-4.538083892771722,-4.178250142878667,-3.8236855441704596,-3.239580498229892,-2.8958102485271033,-2.3210885645586052,-2.0529598543039844,-1.5455645060533398,-1.0974700840893326,-3.750364870557506,-3.739607859128876,inf
9,2140,1965,-6.453706171018228,-6.127805686013826,-6.545243226403182,-6.212522591931171,-5.8627864620465315,-5.696441067797833,-5.373429584004581,-5.060855051075282,-4.859845961971702,-4.609122760303915,-4.185049975639677,-3.8197850246607916,-3.231856536340922,-2.8097743491166525,-2.309057607499663,-1.9801481744892162,-1.581267035467404,-1.0364202684116621,-3.7233361981695867,-3.7125791867409563,inf
10,2140,1966,-6.219952440592003,-6.057642214644347,-6.538469827451475,-6.153129074441077,-5.792475937828816,-5.659950757279952,-5.467271589015044,-5.170112218206188,-4.752879619712493,-4.620614508415565,-4.200461221583251,-3.7777587435879707,-3.2798583351465527,-2.719370579990374,-2.3103672334361005,-1.9746526179209674,-1.5223432055831665,-0.9423017807874214,-3.4895824677433613,-3.4788254563147314,inf
11,2140,1967,-6.219952440592003,-6.154212388132452,-6.515804990271139,-6.043650300278553,-5.927530073104452,-5.730770619373848,-5.507886048771177,-5.071544047183248,-4.8835498657775585,-4.590327612950163,-4.169852114730245,-3.6905710248584263,-3.3598421959802414,-2.793410050053367,-2.340612488583285,-1.8553681902056598,-1.502607888796914,-0.9964460585015804,-3.4895824677433613,-3.4788254563147314,inf
12,2140,1968,-6.4841653785029365,-6.321689821028741,-6.821675868509171,-6.160919593308686,-5.905485694732541,-5.625437497598969,-5.5282177003251265,-5.221120448538542,-4.943456756339544,-4.705253644545074,-4.168318764059256,-3.7594179209626684,-3.32904404209413,-2.7877271220253412,-2.4625497426867238,-1.9776736787739089,-1.6016253726973066,-0.9244318894578549,-3.7537954056542953,-3.743038394225665,inf
13,2140,1969,-6.4306408980872325,-6.167888958931603,-6.744790617361984,-6.104975897499062,-5.900008718357928,-5.671743120911584,-5.590414457208935,-5.349479418727905,-4.888004939205548,-4.720500873965768,-4.244477898661372,-3.7765504928152787,-3.2626523545573427,-2.8411792601868053,-2.3812976671689805,-1.935292558390911,-1.5210124414072728,-0.8839254473721234,-3.700270925238591,-3.6895139138099604,inf
14,2140,1970,-6.417695733495195,-6.12789279841474,-6.625452455650092,-6.267916651876699,-5.8318109490834935,-5.7046903276463805,-5.512254245736344,-5.060315424720525,-4.952179327729815,-4.599911628734625,-4.199705077879927,-3.797578871037277,-3.2694532996117287,-2.8892764675347498,-2.3415910641053785,-1.836059728124635,-1.440571247974329,-0.9045181956488878,-3.6873257606465537,-3.6765687492179233,inf
15,2140,1971,-6.47051328933461,-6.4277013138829,-6.649477889945981,-6.126475886724543,-5.777942318065478,-5.671603576291966,-5.384474164365875,-5.385545733882448,-5.013386327468146,-4.68731241154391,-4.284341373822495,-3.919295764757226,-3.4200842993161547,-2.9233100633578775,-2.359969776774998,-2.0020907129729957,-1.5615139241525173,-0.9996723408132061,-3.740143316485968,-3.729386305057338,inf
16,2140,1972,-6.4437558401650605,-6.3412754360480115,-6.809615011297797,-6.145781326096821,-5.739934949380307,-5.818872045512147,-5.493346616381407,-5.233337246816404,-5.099488631451947,-4.579445294749656,-4.302288017013332,-3.8770951243685676,-3.3426941168462236,-2.8733263700958713,-2.2945429834579634,-1.9060028584634585,-1.4920589988280744,-0.9798541188535199,-3.713385867316419,-3.7026288558877885,inf
17,2140,1973,-6.4306408980872325,-6.590189478409669,-6.9666721119694985,-6.316713321359345,-5.908441211296307,-5.813167140613753,-5.579729825986222,-5.399786826712896,-4.997928642827141,-4.6723954918358785,-4.325273818081432,-3.872090295092775,-3.5108405591119825,-3.071005496828492,-2.6143164206784966,-2.119539160942049,-1.696709063421814,-1.1503105233325035,-3.700270925238591,-3.6895139138099604,inf
18,2140,1974,-6.4371768690670175,-6.757204350086869,-6.883490656982506,-6.244541090382287,-5.806625316862512,-5.8439360363823605,-5.488608641879106,-5.317735452405138,-4.965588116205658,-4.665794807804526,-4.298104246715262,-3.9036647478139446,-3.5430490059023967,-2.992624267944124,-2.5463729718886015,-2.1694775189815036,-1.6851497341697967,-1.1483179661315976,-3.7068068962183762,-3.696049884789746,inf
19,2140,1975,-6.4371768690670175,-6.77348256594971,-6.954652643825383,-6.328707298728148,-5.862788226136539,-5.663052863156013,-5.567890920445186,-5.354366517933699,-5.044743350677162,-4.717186300257654,-4.372284038475063,-3.9529432752175087,-3.532730771624005,-2.943923239167307,-2.6475960968068635,-1.9849506982589133,-1.5980741537837853,-1.1917027117341217,-3.7068068962183762,-3.696049884789746,inf
20,2140,1976,-6.4437558401650605,-6.92033811962232,-7.092761401146761,-6.298333539646862,-5.793013608384143,-5.774327019853984,-5.600814524784958,-5.513836992751587,-5.117551020020889,-4.722226741409109,-4.379309241697381,-3.9506017228699197,-3.5771161226355703,-2.9025221995267825,-2.7033443100647974,-1.9723982321877935,-1.6556272949034752,-1.2311237933918868,-3.713385867316419,-3.7026288558877885,inf
21,2140,1977,-6.4371768690670175,-6.728202163742789,-6.938175875682849,-6.504877494438924,-6.124674385982025,-5.960291719814212,-5.92428600935127,-5.680028388648094,-5.18793515579048,-4.837603784209394,-4.549514402032678,-4.05925324241083,-3.433961824096571,-3.10524452191628,-2.573975477847641,-1.9935118305609472,-1.705452565673689,-1.2207799226423173,-3.7068068962183762,-3.696049884789746,inf
22,2140,1978,-6.4371768690670175,-7.326388664126922,-7.057781241084741,-6.414440570867955,-6.120933307187615,-6.112897734226924,-5.880238911997758,-5.546562875214335,-5.226281933996288,-4.938045296428455,-4.463928654937601,-4.124127327765492,-3.5748438051861133,-3.0444234327235895,-2.71938176711176,-2.0093872867569624,-1.6505493006765315,-1.1433481825095013,-3.7068068962183762,-3.696049884789746,inf
23,2140,1979,-6.4437558401650605,-6.8820603259811195,-6.927629465189221,-6.554044397976755,-6.07637483776379,-5.996968138324961,-5.803370968516905,-5.543135734568035,-5.07041293197169,-4.975543974284986,-4.429476234386869,-4.1402079790152815,-3.6333096029591254,-2.990087855934314,-2.5968000864874496,-1.9096987670927414,-1.5706179205845183,-1.2672218346336355,-3.713385867316419,-3.7026288558877885,inf
24,2140,1980,-6.346347652697729,-6.810456367995338,-6.636645762012143,-6.251108500641719,-5.845922241817324,-5.620634935662574,-5.603399360700682,-5.307206313965283,-4.957296221400455,-4.706473900950304,-4.2145201636650675,-3.893112041142448,-3.4376683903480845,-2.8102905894237926,-2.2184946444320794,-1.7391670191088844,-1.3499624318725003,-0.8706802206221027,-3.6159776798490872,-3.6052206684204573,inf
25,2140,1981,-6.653016470774256,-6.845016938348714,-6.996940907488348,-6.441734837122696,-6.088594563629293,-5.756184416607415,-5.71697253051437,-5.340952598192473,-4.996670753745883,-4.773444527056487,-4.259288575187951,-3.941545444694468,-3.426157471881944,-2.7841553586112466,-2.2516327658201183,-1.6838023277229628,-1.3451524177887153,-0.8595953881976097,-3.6159776798490872,-3.6052206684204573,inf
26,2140,1982,-6.653016470774256,-7.011552072663781,-7.10286731644046,-6.419323873078151,-6.111265746920602,-5.891479276974663,-5.735356820254796,-5.608472294851876,-5.110906740246611,-4.746898345816793,-4.173387769562553,-3.844200409089385,-3.430282962557252,-2.89668576701179,-2.2912855377401122,-1.6744209768108216,-1.2430601930339829,-0.6964860818254599,-3.6159776798490872,-3.6052206684204573,inf
27,2140,1983,-6.671143855366813,-6.996364018963717,-7.201845347729249,-6.668262589666398,-6.20540557949103,-6.029091258093604,-5.856362062251418,-5.539913106060554,-5.206420946575092,-4.812172521122916,-4.411879597823563,-4.005903484849733,-3.5130388014040648,-3.002438514834074,-2.652460180727645,-1.9731634143694996,-1.5744031233331537,-1.049194378087605,-3.634105064441644,-3.6233480530130135,-4.560718423417257
28,2140,1984,-6.653016470774256,-7.180662065851764,-6.892749638364267,-6.660873753099426,-6.047024035085235,-5.968859984810584,-5.9017276301373025,-5.545403458719422,-5.219811508635601,-4.784004380921631,-4.3428059215206005,-3.8694951496437313,-3.426206309335109,-2.9134941753170187,-2.318870834864831,-0.6045025227153309,-0.9525569098585493,-0.5717863235556778,-3.6159776798490872,-3.6052206684204573,
29,2140,1985,-6.653016470774256,-7.0676039799240336,-7.155202039242019,-6.466980168261233,-6.114318220213326,-6.10841805140199,-5.705346196632384,-5.512993466763148,-5.118950021651513,-4.808563259884885,-4.312500572025272,-3.8519253002832508,-3.4326296358325714,-2.990744732042952,-2.2997320240116395,-1.8133236471438954,-0.9661625619143281,-0.4700036292457356,-3.6159776798490872,-3.6052206684204573,inf
